original,predicted,correct
RKGW,KKsW,False
TezS,TezS,True
Vmgs,Vmgs,True
TbaA,TbaA,True
Gnbsuo,Gnbsuo,True
wcLTTO,uGLTTO,False
BGHF,BGHF,True
Fsdp,Fsdp,True
Zaimvmj,Zaimvnj,False
moGJ,noGJ,False
Dypkvg,Dypkvg,True
Ebiohca,Ebiohca,True
zCAg,zCAg,True
Cusf,Cusf,True
lFqJtN,lFaJtN,False
lxwWOsW,lxwWOzW,False
DKKof,DKRof,False
Guyee,Guyee,True
Ahpcmjb,Ahpcmjb,True
jRQAK,jRQAK,True
QoIffa,QofTffa,False
Vfekk,Vfekk,True
LntuWAg,lntuMAg,False
ktww,ktww,True
Raiwl,Raiwl,True
Ndejx,Ndejx,True
Sdthqpg,Sdthqpg,True
ZHGhtY,ZHekty,False
OQUiJ,oQUJ,False
Jzjc,Jzjc,True
JxEvW,JxEvW,True
ZNSzZiM,ZNSzZiM,True
AlYOd,AlYOd,True
fNYl,FNYj,False
LMZPL,kMZPL,False
zZVSS,zZVSS,True
HDYcJRV,HDYeJRV,False
Nfxzfy,Nfxzfy,True
RIzc,RIzc,True
Ggjdj,Ggjdj,True
BzHEU,BzHEU,True
Yxvqq,Yxvqq,True
Opgg,Opgg,True
Cpgem,Cpgem,True
cwEFc,cwEFc,True
ZLvUlv,ZLvUlv,True
Ymffu,Ymffu,True
LVsf,LVsf,True
FtiU,FtfU,False
MEkBRKr,MEkBRKr,True
MLtNMo,kCtNNo,False
Cqnisn,Cqnisn,True
Ytrjks,Ytrjks,True
XEAkZV,XBAkZV,False
Uoeswlr,Uoeswlr,True
fAeQAi,FAeQAi,False
Oshanu,Oshanu,True
Ntnmda,Ntnmda,True
lZOv,FZOL,False
Bovdrw,Bovdrw,True
Ieiuf,Ieiuf,True
ZBGeiZt,ZBGelZt,False
XtdEArP,ktdRcrP,False
Bhvmezn,Bhvmezn,True
XlUae,Xiuae,False
Ompf,Ompf,True
WDoArA,WDoArA,True
Fjwe,Pjwoe,False
hzmoO,hzmoO,True
KmYVL,KmYVL,True
bpDbl,bpDbl,True
Lqlib,Lqlib,True
Gmei,Gmei,True
HlyGksW,flyGksW,False
QWOpbDh,CUOpbDh,False
KjBLs,KjBLs,True
Bzkh,Bzkh,True
Ebce,Ebce,True
Scxq,Scxq,True
fsZiwm,FsZiwm,False
Xdpjczh,Xdpjczh,True
ePqoxf,aPHqf,False
QcKqf,OQcKqf,False
Jfstip,Jfstip,True
Ictnpq,Ictnpq,True
zVPvmog,zVPvmog,True
jdQz,jdQz,True
Mnsu,Mnsu,True
Bclvjfe,Bcwjfe,False
Rjtqms,Rjtqms,True
Jjyei,Jjyei,True
nWUo,nWUo,True
mtqZq,ntqzq,False
vGMK,YGMK,False
hLuIJA,hLuIJA,True
jnUpDe,jnUpDc,False
zPrFq,sPrFq,False
zUeJkW,zUeJkW,True
OInyqWI,OInyqWI,True
MMoMMrU,WwMoMMrU,False
Zuyg,Zuyg,True
bWpbP,bWpBP,False
