original,predicted,correct
EJASF,EJASF,True
ynqFr,ynqFr,True
QtFJLc,QtFJLc,True
yBUZtR,yBUZtR,True
Hkxz,Hkxz,True
jPjwDDx,jPJwDDx,False
UuUK,UuUK,True
ivpF,ivpF,True
jNMf,jMMf,False
vkVrv,vkVrv,True
ntxQQG,ntxQQG,True
KBJGZbG,KBJGZbG,True
BHMuAi,BHMuAl,False
BoIFA,BoIFA,True
EWiceIx,EWiceIx,True
CWsCvr,CWsCvr,True
NFIothl,NFIothl,True
elvP,elvP,True
WjkGgng,WjkGgng,True
zgpQB,ZgpQB,False
pdMju,pdMju,True
vMRNGL,vMRNGL,True
cghoQil,cghoQH,False
HwjpQOS,HwjpQOS,True
rPYn,rPYn,True
TGvLFD,TGvLFU,False
CdqVHW,cdgVHW,False
kvBE,kvBE,True
AeGvPgL,AeGJPsL,False
SBJloDJ,SBJloDJ,True
RAeTW,RAeTW,True
XecrB,XecrB,True
VNds,VNds,True
QroLUcT,QroLUcT,True
IAZo,HZo,False
FSeRJ,FSeRJ,True
zphMaZv,zphMaZv,True
gCgP,gCgP,True
ccBlv,ccBiv,False
wfsy,wfsy,True
JVNJkb,JVNJkb,True
LdLN,LdLN,True
TDfJJdx,TDfJJdx,True
ypyaB,ypyaB,True
mvIkg,mvIkg,True
eYuX,eYuX,True
wqpR,wqpR,True
norb,norb,True
vhex,vhex,True
hJuqhYv,hJuqhYv,True
hVLg,hVLg,True
LvkIoF,LvkIoF,True
xqAoM,XqAoi,False
NowcK,NowcK,True
uQdI,uQdI,True
iZcTSO,iZcTSO,True
zqBy,zqBy,True
oxbab,osbab,False
RrPE,RrPE,True
LAaHba,LAaHbe,False
eMqEsOb,eMqEsOb,True
UODUB,UODUB,True
ICxW,ICxW,True
DMkrKd,DwBGd,False
UTvtUE,UTvtUE,True
XpBfifE,XpBfifE,True
DEaRf,DEaRf,True
qcGVfa,qcGVfa,True
BMQk,BMQk,True
VwGAvc,VwGAvc,True
cMHKl,cMHKl,True
vcOgnu,ycOgnu,False
bUaiHG,bUaiHG,True
ZZCChk,ZZCChk,True
WvpbV,WvpbV,True
xOHNhT,xOHNhT,True
XJCBOFj,XjCBOFj,False
AThw,AThw,True
WBpPPlI,WBpPPlI,True
GFeq,GFeq,True
sNnjvrt,sNnjqmI,False
xGiChlp,xGiChlp,True
mGgKtSU,mGgKtSU,True
nvhytz,nvhytz,True
SkPf,SkFf,False
NtkHNW,NtkHNW,True
zOkQcM,zOkQcM,True
OPikiuv,OPikiuv,True
OeIL,OeIL,True
zQKPkUh,zQKPkU,False
ZbAYD,ZbAYD,True
KLVaJU,KLVaJU,True
QwXmyH,QwXmyH,True
cDjO,eDjO,False
ttbc,ttbc,True
dRhAy,dRhAy,True
